,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
0,AALI.JK,968,241,0.6058091286307054,425,543,[-0.00783122  0.0130024   0.10160086 -0.00264888 -0.33249089],-0.24630293381419913
1,ABBA.JK,967,241,0.6639004149377593,249,718,[ 0.58782357  0.0937154  -0.07444632  0.03943856 -0.26862868],-1.0672980272774453
2,ABMM.JK,967,241,0.5601659751037344,260,707,[-0.30339467  0.02457919  0.00985933 -0.00102328 -0.72575081],-0.9952495199431589
3,ACES.JK,967,241,0.6099585062240664,424,543,[-0.32700682  0.01917668  0.0023673   0.03526087  0.88158349],-0.25315988553481833
4,ACST.JK,967,241,0.5809128630705395,337,630,[ 0.59912867  0.0067303  -0.0609765  -0.00864303 -0.20302647],-0.6222500385815264
5,ADCP.JK,209,52,0.7884615384615384,60,149,[-0.0638015  -0.16939528 -0.02200406 -0.09731478 -1.03202873],-0.891313738708452
6,ADES.JK,967,241,0.5601659751037344,384,583,[-0.02330494  0.01134937 -0.05753992  0.00162454 -0.58187431],-0.4202526853386046
7,ADHI.JK,967,241,0.6431535269709544,377,590,[ 0.15773291  0.02010566 -0.06481099  0.00418591  0.88017101],-0.45611318522286354
8,ADMF.JK,967,241,0.5933609958506224,387,580,[ 0.00096365 -0.01936044  0.01437497  0.0085228  -0.10085993],-0.4060950964088868
9,ADMG.JK,968,241,0.7136929460580913,354,614,[ 0.06304645  0.01503072  0.01089805 -0.03082259 -0.41754398],-0.5528587270066129
10,ADMR.JK,238,59,0.7627118644067796,105,133,[-0.02919318  0.01548492  0.05714227 -0.00519886 -0.03474415],-0.2285741737507272
11,ADRO.JK,967,241,0.5103734439834025,412,555,[-0.10808706  0.00844688 -0.04195115 -0.03724264 -0.1681133 ],-0.30751666436229297
12,AGAR.JK,644,161,0.6273291925465838,183,461,[-0.47535526  0.01834708  0.06165283  0.01971848 -2.08367674],-0.9143562369272319
13,AGII.JK,967,241,0.5601659751037344,374,593,[ 0.24177095 -0.00358652 -0.0039594  -0.03751438 -0.58872582],-0.4556057588522198
14,AGRO.JK,967,241,0.6307053941908713,366,601,"[-1.30309999e-07  1.08189086e-04 -1.52735163e-05  2.58223713e-05
  2.41728752e-06]",-0.00024899946588245
15,AGRS.JK,967,241,0.6970954356846473,331,636,[-0.11953723  0.11694725  0.04145335 -0.00656042 -1.13592483],-0.6518211424968486
16,AHAP.JK,968,241,0.6887966804979253,284,684,"[-2.01098187e-01 -1.29858036e-02  3.96746189e-02  4.73300362e-04
 -1.77912083e+00]",-0.8780927696549014
17,AIMS.JK,968,241,0.6514522821576764,167,801,[0. 0. 0. 0. 0.],0.0
18,AKKU.JK,967,241,1.0,5,962,[0. 0. 0. 0. 0.],0.0
19,AKPI.JK,967,241,0.6473029045643154,255,712,"[-3.89398461e-01  1.48700103e-02 -9.06637856e-03  1.10245455e-04
 -4.80799327e-01]",-1.0250651567306148
20,AKRA.JK,968,241,0.5560165975103735,408,560,[-0.03530702 -0.06441979  0.06435946  0.0006246   0.34616257],-0.32377515274766633
21,AKSI.JK,967,241,0.6970954356846473,317,650,[ 0.03333998 -0.00789422  0.00082197  0.01103649  0.28394664],-0.725617897722134
22,ALDO.JK,967,241,0.6390041493775933,275,692,[ 0.54414151 -0.02311962  0.02006416 -0.01289035 -0.81815539],-0.9348239582540527
23,ALKA.JK,967,241,0.6473029045643154,297,670,"[-8.48233084e-01 -7.23152162e-04 -3.05341350e-03 -7.88282650e-03
 -9.33505140e-01]",-0.8099993277544261
24,ALMI.JK,968,241,0.6016597510373444,326,642,[-0.56091374 -0.00759921  0.11471141  0.01419823 -2.02300313],-0.6851576231927673
25,ALTO.JK,967,241,0.8672199170124482,195,772,"[-1.34716926e-01  2.62110469e-04  2.02838094e-02  3.46032603e-04
 -2.01188304e+00]",-1.3839525629569418
