Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
AALI.JK,968,241,0.6224066390041494,426,542,[ 0.04730641 -0.03861144  0.01268875  0.10240031 -0.00258044 -0.32105753],-0.23974244796776675
ABBA.JK,880,219,0.6757990867579908,258,622,[ 0.37905682  0.04508792  0.07553254 -0.07047657  0.03379625 -0.12144326],-0.895053371131325
ABDA.JK,744,185,0.9135135135135135,75,669,[ 0.00054494  0.17435777 -0.06361809  0.00759263 -0.01988709  0.00341347],-2.223499261041704
ABMM.JK,967,241,0.5643153526970954,261,706,"[-1.83553274e-02  3.78711474e-05  2.43471069e-02  9.63730582e-03
 -1.25154770e-03 -7.40801436e-01]",-0.9940270456213561
ACES.JK,967,241,0.6099585062240664,426,541,[-0.22111655  0.006627    0.01519182  0.02844741  0.04146573  0.84349205],-0.24772200983539092
ACST.JK,967,241,0.5850622406639004,337,630,[ 0.37015398  0.01798546  0.00672396 -0.0605702  -0.00763661 -0.1398016 ],-0.6238486337457237
ADCP.JK,211,52,0.8076923076923077,60,151,[-0.04224611  0.16397105 -0.16022276 -0.02231675 -0.06799113 -1.05558345],-0.9096129313834719
ADES.JK,966,241,0.5601659751037344,385,581,[ 0.0030783   0.04111108 -0.01106832 -0.05711732  0.00142962 -0.60769432],-0.41372596726626043
ADHI.JK,967,241,0.6514522821576764,378,589,[ 0.19814133 -0.01024183  0.02404306 -0.05935316  0.03883738  0.75636159],-0.4554204740722926
ADMF.JK,967,241,0.5933609958506224,387,580,[-0.00299232 -0.00443723 -0.01824191  0.01358344  0.01248368 -0.08739289],-0.4074521605653316
ADMG.JK,968,241,0.7178423236514523,355,613,[-0.00728597 -0.01012316  0.01578189  0.01205966 -0.0253643  -0.40035959],-0.5457419017732222
ADMR.JK,240,59,0.7457627118644068,105,135,[ 0.01603618  0.01674872  0.0154903   0.05105219 -0.00485363  0.01490522],-0.23527415945756544
