,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
0,AALI.JK,968,241,0.6058091286307054,425,543,[[-0.00782802  0.01299754  0.10159681 -0.00265748 -0.33254032]],[-0.24631402]
1,ABBA.JK,967,241,0.6639004149377593,249,718,[[ 0.58782357  0.0937154  -0.07444632  0.03943856 -0.26862868]],[-1.06729803]
2,ABMM.JK,967,241,0.5643153526970954,260,707,[[-0.30339467  0.02457919  0.00985933 -0.00102328 -0.72575081]],[-0.99524952]
3,ACES.JK,967,241,0.6099585062240664,424,543,[[-0.32693263  0.01917702  0.0023183   0.03526132  0.88164385]],[-0.25318943]
4,ACST.JK,967,241,0.5809128630705395,337,630,[[ 0.59911545  0.00672997 -0.06096878 -0.00864355 -0.20297277]],[-0.62224794]
5,ADCP.JK,209,52,0.8076923076923077,60,149,[[-0.0638015  -0.16939528 -0.02200406 -0.09731478 -1.03202873]],[-0.89131374]
6,ADES.JK,967,241,0.5601659751037344,384,583,[[-0.02330494  0.01134937 -0.05753992  0.00162454 -0.58187431]],[-0.42025269]
7,ADHI.JK,967,241,0.6431535269709544,377,590,[[ 0.15773291  0.02010566 -0.06481099  0.00418591  0.88017101]],[-0.45611319]
8,ADMF.JK,967,241,0.5933609958506224,387,580,[[ 0.0009457  -0.01934012  0.01437721  0.00852573 -0.10069467]],[-0.40599208]
9,ADMG.JK,968,241,0.7136929460580913,354,614,[[ 0.06304645  0.01503072  0.01089805 -0.03082259 -0.41754398]],[-0.55285873]
10,ADMR.JK,238,59,0.7627118644067796,105,133,[[-0.02919318  0.01548492  0.05714227 -0.00519886 -0.03474415]],[-0.22857417]
11,ADRO.JK,967,241,0.5103734439834025,412,555,[[-0.10798574  0.00845153 -0.04195489 -0.03724061 -0.16825597]],[-0.30753826]
12,AGAR.JK,644,161,0.6273291925465838,183,461,[[-0.47535526  0.01834708  0.06165283  0.01971848 -2.08367674]],[-0.91435624]
13,AGII.JK,967,241,0.5601659751037344,374,593,[[ 0.24192798 -0.00356796 -0.00395875 -0.03751024 -0.58875409]],[-0.45560916]
14,AGRO.JK,967,241,0.6307053941908713,366,601,"[[-1.30309999e-07  1.08189086e-04 -1.52735163e-05  2.58223713e-05
   2.41728752e-06]]",[-0.000249]
15,AGRS.JK,967,241,0.6970954356846473,331,636,[[-0.11953723  0.11694725  0.04145335 -0.00656042 -1.13592483]],[-0.65182114]
16,AHAP.JK,968,241,0.6887966804979253,284,684,"[[-2.01098187e-01 -1.29858036e-02  3.96746189e-02  4.73300362e-04
  -1.77912083e+00]]",[-0.87809277]
17,AIMS.JK,968,241,0.6514522821576764,167,801,[[0. 0. 0. 0. 0.]],[0.]
18,AKKU.JK,967,241,1.0,5,962,[[0. 0. 0. 0. 0.]],[0.]
19,AKPI.JK,967,241,0.6473029045643154,255,712,"[[-3.89410164e-01  1.48627496e-02 -9.05922406e-03  1.04458337e-04
  -4.81226808e-01]]",[-1.02506587]
20,AKRA.JK,968,241,0.5601659751037344,408,560,[[-0.03472841 -0.06438272  0.06428464  0.0006297   0.34681114]],[-0.32376955]
21,AKSI.JK,967,241,0.6970954356846473,317,650,[[ 0.03333998 -0.00789422  0.00082197  0.01103649  0.28394664]],[-0.7256179]
22,ALDO.JK,967,241,0.6390041493775933,275,692,[[ 0.5442732  -0.02312481  0.02009499 -0.01287875 -0.81827567]],[-0.93482587]
23,ALKA.JK,967,241,0.6473029045643154,297,670,"[[-8.48233084e-01 -7.23152162e-04 -3.05341350e-03 -7.88282650e-03
  -9.33505140e-01]]",[-0.80999933]
24,ALMI.JK,968,241,0.6016597510373444,326,642,[[-0.56091374 -0.00759921  0.11471141  0.01419823 -2.02300313]],[-0.68515762]
25,ALTO.JK,967,241,0.8672199170124482,195,772,"[[-1.34716926e-01  2.62110469e-04  2.02838094e-02  3.46032603e-04
  -2.01188304e+00]]",[-1.38395256]
26,AMAG.JK,967,241,0.6224066390041494,255,712,[[-0.50024631 -0.00293168  0.02685206 -0.00537356 -0.46821164]],[-1.02898515]
27,AMAN.JK,588,147,0.782312925170068,167,421,[[ 0.31615193  0.00612244 -0.04799507 -0.0022174   0.25864747]],[-0.92954384]
28,AMAR.JK,625,156,0.532051282051282,228,397,[[-0.26350827 -0.03158944  0.13441386 -0.00642501 -0.29163463]],[-0.5547353]
29,AMFG.JK,968,241,0.5892116182572614,255,713,[[ 0.12244326  0.01325451 -0.00284617  0.00331244 -0.2307899 ]],[-1.02869554]
30,AMIN.JK,967,241,0.6556016597510373,266,701,[[-0.65651193 -0.01062339 -0.05062916 -0.00795242 -0.93966421]],[-0.97347343]
31,AMMS.JK,126,31,0.6129032258064516,29,97,[[-0.04317114 -0.04466349 -0.56012034  0.13778696  0.96846273]],[-1.31198313]
32,AMOR.JK,444,110,0.6454545454545455,171,273,[[-0.07679504  0.00291332 -0.01377555  0.05141944  0.06536532]],[-0.47087711]
33,AMRT.JK,967,241,0.4979253112033195,346,621,[[-0.05040488  0.00129918  0.0341693   0.00566315 -1.20899891]],[-0.57971963]
34,ANDI.JK,912,228,1.0,109,803,"[[ 2.15511207e-05  3.05041482e-01  3.67866604e-02  1.82384658e-01
  -1.92133633e-02]]",[-2.00725713]
35,ANJT.JK,967,241,0.6390041493775933,276,691,"[[-8.11130692e-02  6.37019307e-05 -1.53575976e-03  2.12209012e-02
   1.02541126e-01]]",[-0.91825641]
36,ANTM.JK,967,241,0.6307053941908713,408,559,[[-0.00443363  0.00790121 -0.00905691  0.05513151 -0.14789673]],[-0.31154733]
37,APII.JK,967,241,0.6431535269709544,303,664,"[[-6.15237198e-01 -1.13808373e-02 -6.02808933e-02 -6.29612188e-04
  -1.90374036e+00]]",[-0.78392244]
38,APLI.JK,967,241,0.6556016597510373,314,653,"[[-2.85675844e-01 -1.30111802e-02  4.40591892e-02 -1.80964078e-04
  -2.50377910e+00]]",[-0.72693874]
39,APLN.JK,967,241,0.5892116182572614,340,627,[[-0.04378976 -0.01551333  0.01940984 -0.02931899  0.16166262]],[-0.61804911]
40,ARCI.JK,342,85,0.5882352941176471,123,219,[[ 0.00378791  0.15426693  0.02965939 -0.00670872  0.53146357]],[-0.56904334]
41,ARII.JK,967,241,0.6846473029045643,213,754,[[-0.41258081 -0.01946334  0.13890584 -0.01052349  0.18902747]],[-1.28188276]
42,ARKA.JK,727,181,0.9834254143646409,101,626,[[ 0.21408768 -0.00563323 -0.41049319 -0.03569411 -0.91477994]],[-1.86872429]
43,ARKO.JK,141,35,0.5428571428571428,50,91,[[-0.0411583   0.22423092  0.09443503  0.30718384 -0.04568157]],[-0.64457938]
44,ARMY.JK,966,241,1.0,107,859,[[-0.28200787  0.23467591 -0.22483085 -0.01409733  0.60519137]],[-2.10423032]
45,ARNA.JK,967,241,0.6473029045643154,346,621,[[-0.11718521  0.01109286  0.06443599 -0.00155925 -0.05665261]],[-0.57965179]
46,ARTA.JK,966,241,0.6514522821576764,273,693,[[ 0.05087297 -0.00145645 -0.01376596 -0.0189169  -1.2435767 ]],[-0.93662784]
47,ARTO.JK,967,241,0.6348547717842323,382,585,[[ 0.01146047 -0.00315885 -0.00666603 -0.003883   -0.33954125]],[-0.42789687]
48,ASBI.JK,968,241,0.5352697095435685,222,746,[[-0.32918089 -0.0581799   0.08237122  0.00441267 -0.63724575]],[-1.20931059]
49,ASDM.JK,967,241,0.6556016597510373,203,764,[[-0.17433029 -0.05976963 -0.06377372 -0.00286252 -1.81616158]],[-1.3351602]
50,ASGR.JK,967,241,0.6473029045643154,343,624,[[-0.0169825  -0.00375513  0.1272246   0.01676953 -1.15320505]],[-0.5858288]
51,ASHA.JK,164,41,0.5853658536585366,57,107,[[ 0.09026959 -0.00795705  0.16996125  0.07755565  0.63761991]],[-0.61426564]
52,ASII.JK,967,241,0.5975103734439834,411,556,[[-0.07763627 -0.01403683  0.01744501  0.00613644 -1.01944716]],[-0.29631954]
53,ASJT.JK,967,241,0.6556016597510373,329,638,"[[-1.41504367e-01 -1.77811495e-03  1.28765196e-01  1.37958353e-03
  -2.02149333e+00]]",[-0.65976608]
54,ASLC.JK,225,56,0.5178571428571429,77,148,[[-0.06766797 -0.00977006  0.09239091 -0.0143136   0.24341842]],[-0.64719725]
55,ASMI.JK,967,241,0.6721991701244814,288,679,[[ 0.44413089 -0.06836321  0.04494922 -0.04361629  0.91944334]],[-0.87588619]
56,ASPI.JK,604,150,0.64,180,424,[[-0.06464364 -0.02087161 -0.49629252  0.00742943 -0.44087352]],[-0.86571311]
57,ASRI.JK,967,241,0.5850622406639004,365,602,[[-0.17791333 -0.0545772   0.07517902 -0.00748078 -0.68476072]],[-0.49827438]
58,ASRM.JK,968,241,0.7344398340248963,177,791,"[[-4.70189507e-01 -2.50225050e-03 -1.48376767e-02  7.00495114e-03
  -2.98131571e+00]]",[-1.53552636]
59,ASSA.JK,967,241,0.5809128630705395,375,592,[[ 0.00217497 -0.05733759 -0.01470313 -0.01647297 -1.08201981]],[-0.45986291]
60,ATAP.JK,445,111,0.7657657657657657,138,307,[[-0.15603609  0.3224799   0.07870272  0.06959102 -1.31382003]],[-0.80052284]
61,ATIC.JK,968,241,0.6099585062240664,260,708,[[-0.43634953  0.0023724  -0.03916914 -0.01224609 -1.08912081]],[-0.99899483]
62,AUTO.JK,967,241,0.5684647302904564,397,570,[[-0.03685762  0.00430059 -0.03115215 -0.00564759  0.23856929]],[-0.36223289]
63,AVIA.JK,252,62,0.5806451612903226,98,154,[[-0.05815508 -0.01795218  0.12744605  0.00942072 -0.29345193]],[-0.47047788]
64,AXIO.JK,135,33,0.7272727272727273,44,91,[[-0.0484564  -0.13294779  0.4700618   0.03402632 -0.05236693]],[-0.71077172]
65,AYLS.JK,606,151,0.6821192052980133,137,469,[[ 0.04872692  0.0677189   0.1685479  -0.00216844  0.44291012]],[-1.22657281]
66,BABP.JK,968,241,0.6680497925311203,130,838,[[ 0.64328353  0.09301776  0.04951692  0.01029843 -0.28425281]],[-1.86381306]
67,BACA.JK,967,241,0.7053941908713693,243,724,[[-0.25495763  0.03259203 -0.00093755 -0.00084687  0.11240321]],[-1.09362059]
68,BAJA.JK,967,241,0.6763485477178424,312,655,[[-0.17284909  0.01720782 -0.00802582 -0.01721817  0.13009533]],[-0.75256402]
